Turbine ID,Month recorded,Section,Zone,Previous Over current Trips,Lubrication Type,New Seal,Planned shutdowns,Average RPM,Asset Age Score,Average Vibration Score,Torque_rating,Bearing Weight Score,Insulation Rating,Fatigue Score,Asset Failure
1.000000,"01.Jan",2.000000,"N",0.000000,0.000000,0.000000,0.000000,715.000000,0.000000,18.000000,1.000000,0.000000,15.000000,0.000000,"F"
2.000000,"10.Oct",3.000000,"N",0.000000,0.000000,1.000000,2.000000,2558.000000,200.000000,327.000000,3.000000,105.000000,48.000000,0.000000,"T"
3.000000,"10.Oct",6.000000,"N",0.000000,1.000000,0.000000,4.000000,3067.000000,95.000000,300.000000,8.000000,50.000000,70.000000,0.000000,"F"
4.000000,"08.Aug",7.000000,"N",0.000000,0.000000,1.000000,4.000000,4222.000000,259.000000,472.000000,7.000000,109.000000,78.000000,1.000000,"T"
5.000000,"06.Jun",8.000000,"N",0.000000,0.000000,0.000000,1.000000,6195.000000,159.000000,672.000000,1.000000,66.000000,144.000000,0.000000,"F"
6.000000,"03.Mar",11.000000,"N",0.000000,0.000000,1.000000,1.000000,5409.000000,135.000000,433.000000,3.000000,27.000000,128.000000,0.000000,"F"
7.000000,"08.Aug",12.000000,"N",0.000000,0.000000,0.000000,5.000000,4135.000000,0.000000,454.000000,6.000000,0.000000,89.000000,0.000000,"F"
8.000000,"01.Jan",13.000000,"N",0.000000,0.000000,0.000000,0.000000,413.000000,0.000000,25.000000,0.000000,0.000000,6.000000,0.000000,"F"
9.000000,"07.Jul",14.000000,"N",0.000000,0.000000,0.000000,0.000000,2982.000000,0.000000,3.000000,0.000000,0.000000,5.000000,0.000000,"F"
10.000000,"09.Sep",19.000000,"N",0.000000,0.000000,0.000000,1.000000,1898.000000,37.000000,112.000000,1.000000,0.000000,54.000000,0.000000,"F"
11.000000,"12.Dec",20.000000,"N",0.000000,1.000000,0.000000,0.000000,1344.000000,3.000000,52.000000,0.000000,0.000000,49.000000,0.000000,"F"
12.000000,"08.Aug",22.000000,"N",0.000000,0.000000,0.000000,0.000000,2231.000000,37.000000,186.000000,0.000000,0.000000,39.000000,0.000000,"F"
13.000000,"08.Aug",25.000000,"N",0.000000,0.000000,0.000000,0.000000,1756.000000,0.000000,47.000000,0.000000,0.000000,33.000000,0.000000,"F"
14.000000,"08.Aug",28.000000,"N",1.000000,0.000000,0.000000,0.000000,1792.000000,48.000000,158.000000,0.000000,0.000000,24.000000,0.000000,"T"
